prompt,reference,generated,self_loss,self_ppl,cond_loss,cond_ppl
"There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Stable postoperative changes are noted. No new focal airspace disease. Stable postoperative changes are noted. No new focal airspace disease. Diffuse interstitial markings are present, likely representing pulmonary edema. Endotracheal tube is appropriately positioned. No acute osseous abnormality.",Stable exam with no interval change.,No acute cardiopulmonary abnormality.,2.316103935241699,10.136106349728843,0.6643785238265991,1.9432824422434856
"Stable postoperative changes are noted. No new focal airspace disease. Heart size is within normal limits. Lungs are clear without focal consolidation. Stable postoperative changes are noted. No new focal airspace disease. Diffuse interstitial markings are present, likely representing pulmonary edema. Heart size is within normal limits. Lungs are clear without focal consolidation.",Bibasilar atelectasis without consolidation.,No acute cardiopulmonary abnormality.,2.316103935241699,10.136106349728843,0.5890765190124512,1.8023232353938572
Stable postoperative changes are noted. No new focal airspace disease. Endotracheal tube is appropriately positioned. No acute osseous abnormality. Heart size is within normal limits. Lungs are clear without focal consolidation. Stable postoperative changes are noted. No new focal airspace disease. Heart size is within normal limits. Lungs are clear without focal consolidation.,Stable exam with no interval change.,No acute cardiopulmonary abnormality.,2.316103935241699,10.136106349728843,0.6830620765686035,1.9799311602837975
"Endotracheal tube is appropriately positioned. No acute osseous abnormality. Endotracheal tube is appropriately positioned. No acute osseous abnormality. Endotracheal tube is appropriately positioned. No acute osseous abnormality. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Diffuse interstitial markings are present, likely representing pulmonary edema.",Mild pulmonary edema.,No acute cardiopulmonary abnormality.,2.316103935241699,10.136106349728843,0.5368093848228455,1.7105404698607605
"Heart size is within normal limits. Lungs are clear without focal consolidation. Stable postoperative changes are noted. No new focal airspace disease. Diffuse interstitial markings are present, likely representing pulmonary edema. Heart size is within normal limits. Lungs are clear without focal consolidation. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax.",No evidence of pneumonia or effusion.,No acute cardiopulmonary abnormality.,2.316103935241699,10.136106349728843,0.6037623882293701,1.828987231467523
"Diffuse interstitial markings are present, likely representing pulmonary edema. Diffuse interstitial markings are present, likely representing pulmonary edema. Endotracheal tube is appropriately positioned. No acute osseous abnormality. Diffuse interstitial markings are present, likely representing pulmonary edema. Heart size is within normal limits. Lungs are clear without focal consolidation.",Stable exam with no interval change.,Stable exam with no interval change.,2.5864577293395996,13.282637474541778,0.5408851504325867,1.7175264588378445
Heart size is within normal limits. Lungs are clear without focal consolidation. Stable postoperative changes are noted. No new focal airspace disease. Stable postoperative changes are noted. No new focal airspace disease. Stable postoperative changes are noted. No new focal airspace disease. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax.,No acute cardiopulmonary abnormality.,No acute cardiopulmonary abnormality.,2.316103935241699,10.136106349728843,0.2231929898262024,1.25006179966762
"Stable postoperative changes are noted. No new focal airspace disease. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Diffuse interstitial markings are present, likely representing pulmonary edema. Diffuse interstitial markings are present, likely representing pulmonary edema. Endotracheal tube is appropriately positioned. No acute osseous abnormality.",Stable exam with no interval change.,No acute cardiopulmonary abnormality.,2.316103935241699,10.136106349728843,0.6391018629074097,1.8947783441512915
Heart size is within normal limits. Lungs are clear without focal consolidation. Stable postoperative changes are noted. No new focal airspace disease. Heart size is within normal limits. Lungs are clear without focal consolidation. Stable postoperative changes are noted. No new focal airspace disease. Stable postoperative changes are noted. No new focal airspace disease.,Mild pulmonary edema.,No acute cardiopulmonary abnormality.,2.316103935241699,10.136106349728843,0.5093570947647095,1.664220914599656
Heart size is within normal limits. Lungs are clear without focal consolidation. Stable postoperative changes are noted. No new focal airspace disease. Endotracheal tube is appropriately positioned. No acute osseous abnormality. Heart size is within normal limits. Lungs are clear without focal consolidation. Endotracheal tube is appropriately positioned. No acute osseous abnormality.,Stable exam with no interval change.,No acute cardiopulmonary abnormality.,2.316103935241699,10.136106349728843,0.6249293088912964,1.8681138937220805
